case_id,regime,alpha_deg,Re,thickness,Cl_mean,Cl_std,Cd_mean,Cd_std,L_over_D,y_plus_mean,iterations,runtime_s,validated
case_0049,A,1.6546710279343282,2936833.8492374485,0.1403180034749718,0.19531629902215003,0.0031873201418962274,0.010483921248840001,0.00016288838726134019,18.630080709902405,15.851721294,2001,232.854732,True
case_0050,A,2.572900716804099,2623813.6872888138,0.1336364104112637,0.2799165390565,0.0010831679245802998,0.011306005129224998,5.876980811838663e-05,24.75821794321861,15.947022833,2001,301.076971,True
case_0051,A,5.463352971076089,2331330.284463818,0.1536323058305936,0.58115239963545,9.945973033598892e-05,0.01375123695618,2.0637605368136732e-05,42.261827171429246,16.353070042,2001,456.408113,True
case_0052,A,4.111005192452768,2976045.977161153,0.10904645041272,0.44605920767099994,6.1267309771143e-05,0.011215986638339998,1.265089261747626e-05,39.76994820466531,15.985881168,2001,299.144607,True
case_0053,A,2.635846572854428,1965289.9017835285,0.1566775643618422,0.2826339406198,0.0007990525412675659,0.012463465618704999,4.8651635444586495e-05,22.676994446522713,16.112273974,2001,244.65911,True
case_0055,A,2.2140924224974765,2500645.933738486,0.1073663618432936,0.2395143620033,0.002371455448363482,0.010704230951640002,0.00014404425283480533,22.375672113707886,15.816300409,2001,255.863644,True
case_0056,A,2.135675332669359,2095705.634624148,0.125074044651734,0.22937212403284998,0.0012298218363639252,0.011542212171834997,6.267721276646994e-05,19.87245777655672,15.974280167,2001,244.576044,True
case_0057,A,4.63636296023793,2119339.297231626,0.1169695846277645,0.49912256935930005,9.039681352517261e-05,0.012450271289285,1.558119602838548e-05,40.08929265572364,16.217587848,2001,286.084857,True
case_0058,A,7.054873378936659,2380720.914051018,0.1220745506436797,0.7528153482755,0.00023566665953352856,0.014384573736705,4.7665890772051415e-05,52.33490835773237,16.455843237,2001,346.97268,True
case_0059,A,4.950267902322886,2844603.360400266,0.1349075664739261,0.5340838765658,9.440728434735132e-05,0.012383803772815,1.729578680937041e-05,43.127611383686826,16.158257208,2001,303.095744,True
case_0060,A,7.524398964337909,2759280.538389274,0.1492786464642366,0.7963644239823,0.0005575808767520429,0.015164784066264998,9.213647483136932e-05,52.514062877681326,16.50814699,2001,312.52982,True
case_0061,A,7.409367476782809,2793844.9046971165,0.1767948113035416,0.7725240191103001,0.0003641802174994902,0.015148743987319998,0.0001596502905503519,50.99591225232457,16.280772125,2001,439.778798,True
case_0062,A,3.918657005888604,1517825.893245186,0.1774925176938188,0.4068603890089,5.19962086127047e-05,0.01443101740513,1.0390646851278628e-05,28.193465338366753,16.351563586,2001,281.750777,True
case_0064,A,5.701658782892785,1724355.600620148,0.1457030189588951,0.6030106439360501,0.00011202498735824205,0.014589063723925003,2.0864963566246624e-05,41.33305984174684,16.549479645,2001,321.189793,True
case_0065,A,5.372821634861187,1664722.049276119,0.1742652023676817,0.55716912717695,9.115540404681665e-05,0.015187004573235002,1.769129172383737e-05,36.6872298279862,16.507224347,2001,334.815346,True
case_0066,A,2.4005522117123608,1927541.1933891384,0.1126842330265121,0.2621247973777,0.0007878029683375484,0.011278396266219999,6.166762843936874e-05,23.241318285897773,16.016661307,2001,257.531565,True
case_0067,A,1.7775132823361115,2648586.40551966,0.128729606178338,0.2040399577351,0.0027226912050224133,0.010559502406060002,8.464105496321275e-05,19.322876200871296,15.848739368,2001,280.54251,True
case_0068,A,6.688708642426512,2993352.60554826,0.1432221078104707,0.7148144021441499,0.00015569176661442871,0.01390389896921,4.612437062696293e-05,51.411075679354184,16.351702284,2001,400.817286,True
case_0069,A,3.2522732829382,2578351.7448431114,0.1753930977246667,0.34521349326069994,2.7272849483746826e-05,0.01265571377788,4.5918167680192984e-06,27.277283551092427,15.933070738,2001,262.31778,True
case_0070,A,3.1561277197569497,2881080.241730632,0.1395393422419156,0.34236211536415,0.00012181643702186551,0.011453493157325,1.440377617798426e-05,29.89150215235382,15.988462577,2001,252.810683,True
case_0071,A,6.281722220020122,2672910.01521749,0.1782807723624408,0.6589572158011001,0.00012270984474768433,0.01409136994467,3.977366851340486e-05,46.7631762127108,16.251028263,2001,327.295331,True
case_0072,A,5.938673534630054,1803466.021041104,0.1643390297910487,0.62063459976035,0.00010514578121965678,0.015222800678415001,2.080230623518485e-05,40.77006674864841,16.487945682,2001,394.218518,True
case_0073,A,5.2672135547405885,1854785.1419066836,0.1666420316461543,0.5523845702565001,0.0001045913930612802,0.014547772235755,1.9690168461328315e-05,37.970388957483735,16.422120028,2001,378.30976,True
case_0074,A,7.819524298779805,2060385.238923306,0.1118083973481164,0.8271704154653,0.00012169221327626348,0.015946917268215,3.129744084298197e-05,51.87023934174385,16.429590547,2001,357.303672,True
case_0075,A,2.398688693660052,1726831.3521376196,0.1420069521305312,0.25955923089185,0.0008096506714674121,0.012229067091459999,3.7638848021340935e-05,21.224777732482114,16.168495222,2001,237.497997,True
case_0076,A,3.622879816549162,1787094.5826766766,0.1501448948720912,0.3864084549397,4.720449628695526e-05,0.013038500661794999,9.344412472073955e-06,29.635957765599674,16.265000518,2001,269.001119,True
case_0078,A,4.532320293202075,2247985.481221687,0.179177110679407,0.47501211574105,7.417271526519445e-05,0.013841357555930002,1.5636072253064406e-05,34.318318403496654,16.203481077,2001,287.384769,True
case_0079,A,2.9637557471355214,2522545.775326402,0.1320254191267441,0.32088110793185004,0.00014498539882618197,0.011499278161915,2.3076718898880818e-05,27.904456559246583,16.032400418,2001,258.954007,True
case_0105,C,4.891444500934717,333472.2856102413,0.1123990401444424,0.5371221354447,0.011518314687744146,0.017163542944455,0.0007855611289427311,31.294362544082265,0.19005889616,5001,51778.51656,False
case_0106,C,2.659995996541536,969218.1643057032,0.094478876014544,0.49364395646085,0.024531811343039892,-0.0093534309409575,0.0014815502318901907,-52.776778871509606,0.20204752783,5001,104102.4732,False
case_0107,C,1.607063944418417,768244.2295069912,0.1326875284007259,0.10344931968325,0.00034968411526946146,0.0071837515024125,1.361400928964112e-05,14.400459098356741,0.19656458441,5001,169581.3655,False
case_0108,C,4.316505705667294,590133.4500312897,0.11965149771995,0.37563439503565,0.007495855685662461,0.015704333462255003,0.00048447851925790316,23.91915555909956,0.19136610431,5001,72731.44815,False
case_0109,C,1.1243721488340463,854901.6671706192,0.0813086735558128,0.07640127568440999,0.0010890873481385905,0.006245107722406,3.370969262363707e-05,12.23378027736814,0.19467773736,5001,169352.4339,False
case_0110,C,2.226721865828375,465844.110970548,0.1425225974251125,0.05238396981939,0.019680311989153345,0.008700330817281,0.00033829538625790973,6.020917011033941,0.16655024631,5001,119601.2002,False
case_0111,C,7.738649809829475,515950.7295729204,0.0856456164890282,0.74319367344435,0.009155645765875253,0.027785745323575,0.00048045932848459275,26.747300271761375,0.20837413272,5001,63105.21548,False
case_0112,C,0.4968155134447294,699225.0986198073,0.1143170929279968,0.07899909652768498,0.0011511600108495387,0.005392257312160999,8.950467197535515e-06,14.650468617200563,0.19021448987,5001,161313.2847,False
case_0135,D,0.4367725939934825,2497997.092448884,0.1600488745822486,0.043376089496244996,0.0012167574499620294,0.01133466218394,1.7773474366824373e-05,3.8268533099913875,26.680279462,2001,481.79015,True
case_0136,D,3.986926481063755,3916608.022325999,0.145583444588986,0.42196422209215,6.576725273007333e-05,0.01107032485895,1.0723416401759101e-05,38.11669733892276,27.060240061,2001,556.012246,True
case_0137,D,4.169622462536634,3543444.219471633,0.1554782663876678,0.43642261799525,5.2972251967994795e-05,0.011622256658015,9.197211947819523e-06,37.550592009537326,27.177129075,2001,574.579918,True
case_0138,D,0.070622530988699,3716370.714186021,0.1737067493658338,0.0076788406238045,0.0038110086905376456,0.01081596366491,2.3464472846243813e-05,0.7099543657600107,26.612212515,2001,493.580009,True
case_0139,D,4.701606404593017,4720013.793853205,0.1427804509035887,0.49931951118900003,7.872747647597338e-05,0.011166359552435,1.1644191673769842e-05,44.71640993148171,27.204881739,2001,696.81968,True
case_0140,D,5.808747242148792,3985554.599878415,0.1223148883914333,0.61839358714015,9.013562669228157e-05,0.012057359790645001,1.4450834613491326e-05,51.28764488059367,27.199671038,2001,696.01157,True
case_0141,D,5.196974097230355,3041993.147502634,0.1046742760751391,0.5548121473640001,7.981081075689513e-05,0.011750492545419999,1.1556813157046164e-05,47.216075855496776,26.730770336,2001,707.383465,True
case_0142,D,2.426514392000172,4110693.928253341,0.1705925587906447,0.25182639948565,0.0006024771889009577,0.010914425335034998,3.4364408531366815e-05,23.072804270994858,26.858311988,2001,506.551846,True
case_0143,D,3.5400516740511963,4667442.490100317,0.1529160807490762,0.37440434146975,3.7912752314959785e-05,0.010660849097250003,8.195165199722414e-06,35.119561120729934,26.994883737,2001,540.711346,True
case_0144,D,3.764586210133973,4300952.572245372,0.1105381685371643,0.40589238208270007,4.554649858600122e-05,0.010085110924210001,8.160260871088188e-06,40.24669486860353,26.592623159,2001,570.774729,True
case_0145,D,1.7514900997521172,2733885.000561384,0.1787868404262865,0.17717738126729998,0.0016335976674416621,0.011831296858065,6.467101023971156e-05,14.975313644211713,26.829432176,2001,520.620739,True
case_0146,D,4.975343968274453,2928727.1056318628,0.1699234943113648,0.5088123929645001,7.070348712275755e-05,0.013009058267105,1.073549598268904e-05,39.11216188885053,27.420545545,2001,710.304915,True
case_0147,D,4.3743283952153575,4328120.56543109,0.1462969809192038,0.4632141040042,6.422054596049463e-05,0.011162046657885,1.1540243614704064e-05,41.49902954195055,27.160938925,2001,623.455741,True
case_0148,D,5.319941280084464,4580395.312186141,0.100821166581805,0.57263355545015,0.00018036205153803238,0.010886391783594997,2.342186034386529e-05,52.60085865300818,26.697246102,2001,671.277257,True
case_0149,D,3.246242492287091,2414742.015383024,0.1418363524559255,0.34084367882704997,3.752361529301741e-05,0.011632972585915,6.327281311830218e-06,29.299792147686958,26.955655719,2001,595.84129,True
case_0150,D,2.110784044142373,2041651.5442736608,0.1263701337365423,0.22306274394064998,0.0002923552865111627,0.011206998250305,2.307379895958992e-05,19.90387960795651,26.637880764,2001,543.985688,True
case_0151,D,3.3552690703671635,2663932.8436406986,0.1205559463065391,0.35762266936044995,3.8286153358922186e-05,0.011019471535165,6.464468096572866e-06,32.45370417439851,26.739678229,2001,592.259603,True
case_0152,D,1.2143493649565515,3243612.1315599354,0.1663401126346972,0.1262764164499,0.0030437442300827954,0.010967710861815002,8.360571112938331e-05,11.513470590252508,26.704925028,2001,508.428458,True
case_0153,D,0.2237874892215041,2563558.7407328053,0.1095569582638475,0.023985757868495005,0.0026063329530233385,0.01008590629044,9.240031298566572e-06,2.3781460166083517,26.220365078,2001,561.031894,True
case_0154,D,0.7722361542927214,4205248.763142224,0.1654866086165086,0.081996396912625,0.004049448148679545,0.010417969693595,8.489773312058642e-05,7.870669556951835,26.617904227,2001,610.150397,True
case_0155,D,4.628999901544447,4890004.280978654,0.1762858693688309,0.47757512356359993,6.274173995382464e-05,0.011765016152329999,1.072131389093051e-05,40.5928149507061,27.319821628,2001,622.129988,True
case_0156,D,0.6734486834117731,3615523.2447813503,0.1358198873360433,0.07645019096495,0.0021928140801995843,0.009949461251629,3.932724295378561e-05,7.683852324409324,26.468968474,2001,558.947311,True
case_0157,D,1.141191071706117,4473963.9880495705,0.1252602944208222,0.1252404409066,0.0034614876529464843,0.0094529482806225,8.830594340407428e-05,13.248823244207214,26.3798576,2001,625.405471,True
case_0158,D,0.5668998640979974,3427368.917027341,0.1146810353661207,0.065741921779335,0.001560663533504224,0.009590608267681499,2.0765168599230306e-05,6.854822962676163,26.219535183,2001,583.845541,True
case_0159,D,2.316803449547186,4043832.623591536,0.1331320178660631,0.2474550381553,0.000563734764281945,0.010098154525275,1.6192490519687697e-05,24.504976383153647,26.634959543,2001,664.523736,True
case_0160,D,3.657026475368273,3128394.4640857247,0.1399312828941687,0.38669534072055,4.983115295849177e-05,0.011234790276895,8.529058994993133e-06,34.41945342903387,26.97912282,2001,633.568267,True
case_0161,D,5.457247959989115,2188806.1331780143,0.1497879350499835,0.5643920839757001,5.687600788257713e-05,0.013669079002304997,8.247064709521435e-06,41.28969361290014,27.501231028,2001,898.198022,True
case_0162,D,1.358324190626543,4835874.516421054,0.1506743157332299,0.14712098517080002,0.0036819193083760275,0.009870096712646501,0.00011959134332892922,14.905728834682511,26.608916381,2001,601.480748,True
case_0163,D,0.9536584254338324,2262918.8523973622,0.1064462798340616,0.10140600463150001,0.0005473201867876431,0.010303804171315,1.0391226149165064e-05,9.841608297817475,26.197815109,2001,535.061551,True
case_0164,D,2.0847662492110928,4974100.405867815,0.1576343165749748,0.22181906853390004,0.0015597817043290674,0.010057331704131,4.94491687432916e-05,22.05545914755789,26.726805922,2001,576.362869,True
case_0165,D,5.568587520310791,3741639.939740704,0.1037181504799573,0.5959982264746501,9.777000926700567e-05,0.011636201360360001,1.539361432052442e-05,51.219311871396755,26.787113688,2001,723.036666,True
case_0166,D,1.5022540605845849,2102481.4732858827,0.1591349924784861,0.15525501145565,0.0008888148054590649,0.011789768836375001,3.143269090364772e-05,13.168622185079773,26.81237774,2001,549.088116,True
case_0167,D,4.9423090429746495,2763964.1094215205,0.1624622218450317,0.5089306103889499,7.064915956556117e-05,0.01293804747404,1.0504964224313191e-05,39.33596714729264,27.400365223,2001,746.227449,True
case_0168,D,2.8108397476669675,3297299.556007399,0.1302963656706632,0.29962353254435004,5.709609867532827e-05,0.01054243094909,1.3465125065955234e-06,28.420725162085404,26.714489908,2001,569.921852,True
case_0169,D,2.561911947347088,3379865.083425155,0.1752450732111748,0.26215960490839996,0.00037516234003138874,0.011456812869535,2.7704169058182158e-05,22.88242008434238,26.911872155,2001,607.451978,True
case_0170,D,5.910582122215716,4506301.162706912,0.1286785162247698,0.6313637712201999,9.309159635675512e-05,0.011556223513245,2.606637937943118e-05,54.63409136181655,27.2871409,2001,753.25755,True
case_0171,D,2.936252978971273,2323730.809623597,0.1171484063534103,0.31280392294285003,2.0074505141963548e-05,0.01100588371303,4.684237526020857e-06,28.4215180805988,26.611006273,2001,597.16465,True
case_0172,D,4.3369948209184646,2860216.904803221,0.1365458205396352,0.45785132733385,6.826851395627156e-05,0.011783820532515,1.0961777766929286e-05,38.85423458974995,27.095633869,2001,674.804039,True
case_0173,D,3.009059058956719,3856028.896296216,0.1125304521291787,0.3240566859369,4.8832275345401694e-05,0.0099641408361035,7.0230234012190165e-06,32.52229080933215,26.491943953,2001,637.764088,True
case_0174,D,1.9283945051708984,3089349.163749012,0.1182836093241332,0.20644271004019998,0.0007773348699601276,0.010162195224805,2.710224436726582e-05,20.314775053355795,26.437802656,2001,571.823967,True
